N°;Opzione A;Opzione B;Stile - Opzione A;Stile - Opzione B
1;Preferisco delegare la gestione di questo disaccordo ai colleghi più coinvolti;Sottolineo gli obiettivi comuni piuttosto che le divergenze operative;Evitante (Avoiding);Accomodante (Accommodating)
2;Cerco soluzioni win-win attraverso la negoziazione strutturata;Mi assicuro che tutte le funzioni aziendali siano rappresentate nella decisione;Compromesso (Compromising);Collaborativo (Collaborating)
3;Punto a far approvare la mia proposta di progetto senza compromessi;Adatto il mio approccio per venire incontro alle esigenze del team;Competitivo (Competing);Accomodante (Accommodating)
4;Propongo di mediare tra le diverse posizioni emerse nel team;Sono disposto a rivedere la mia proposta se anche gli altri fanno concessioni;Compromesso (Compromising);Accomodante (Accommodating)
5;Coinvolgo tutto il gruppo nella definizione della strategia operativa;Rimando la discussione per preservare un clima sereno in ufficio;Collaborativo (Collaborating);Evitante (Avoiding)
6;Evito di sollevare questioni che potrebbero creare attriti in riunione;Convinco il management ad approvare il mio piano strategico;Evitante (Avoiding);Competitivo (Competing)
7;Chiedo tempo per valutare pro e contro prima di decidere sulla riorganizzazione;Accetto di modificare il timeline se anche gli altri dipartimenti fanno altrettanto;Evitante (Avoiding);Compromesso (Compromising)
8;Sostengo con fermezza il mio piano d'azione di fronte al comitato direttivo;Facilito una sessione di brainstorming per trovare insieme la soluzione migliore;Competitivo (Competing);Collaborativo (Collaborating)
9;Non intervengo su divergenze organizzative che ritengo marginali;Negozio con forza per ottenere le risorse necessarie al mio team;Evitante (Avoiding);Competitivo (Competing)
10;Difendo con determinazione il budget assegnato al mio reparto;Trovo un punto di incontro tra le esigenze commerciali e produttive;Competitivo (Competing);Compromesso (Compromising)
11;Affronto subito le divergenze strategiche con i colleghi di altri dipartimenti;Supporto le richieste del collega per mantenere buoni rapporti interpersonali;Collaborativo (Collaborating);Accomodante (Accommodating)
12;Preferisco non esprimere riserve che potrebbero rallentare l'approvazione del progetto;Negoziamo una ripartizione bilanciata di costi e benefici tra le business unit;Evitante (Avoiding);Compromesso (Compromising)
13;Propongo una soluzione intermedia che accontenti parzialmente entrambe le parti;Ribadisco con fermezza la mia posizione tecnica nella discussione;Compromesso (Compromising);Competitivo (Competing)
14;Espongo apertamente la mia visione e richiedo feedback costruttivo al team;Dimostro con evidenze perché la mia proposta garantisce risultati migliori;Collaborativo (Collaborating);Competitivo (Competing)
15;Presento dati e analisi per dimostrare la validità della mia proposta;Rinvio il confronto per evitare una escalation del conflitto in open space;Competitivo (Competing);Evitante (Avoiding)
16;Evito di contraddire il mio responsabile anche quando non sono d'accordo;Spiego nel dettaglio la logica dietro la mia decisione organizzativa;Accomodante (Accommodating);Competitivo (Competing)
17;Insisto per implementare la procedura che ritengo più efficace;Non forzo la situazione per non compromettere i rapporti di lavoro;Competitivo (Competing);Evitante (Avoiding)
18;Accetto il punto di vista del cliente se questo migliora la relazione commerciale;Negozio concessioni reciproche per sbloccare lo stallo contrattuale;Accomodante (Accommodating);Compromesso (Compromising)
19;Organizzo immediatamente un incontro per chiarire le divergenze operative;Chiedo una pausa di riflessione prima di prendere una decisione definitiva;Collaborativo (Collaborating);Evitante (Avoiding)
20;Metto sul tavolo tutti i punti critici del progetto per risolverli insieme;Valuto tutte le opzioni per individuare quella più equa per tutti gli stakeholder;Collaborativo (Collaborating);Compromesso (Compromising)
21;Ascolto attentamente le preoccupazioni dei collaboratori prima di decidere;Promuovo una discussione trasparente su tutti gli aspetti critici del progetto;Accomodante (Accommodating);Collaborativo (Collaborating)
22;Comunico chiaramente quali sono le mie priorità e aspettative;Facilito un processo strutturato per identificare aree di accordo e disaccordo;Competitivo (Competing);Compromesso (Compromising)
23;Cerco soluzioni che soddisfino sia gli obiettivi aziendali che le esigenze del team;Lascio che sia il project manager a gestire questa criticità;Collaborativo (Collaborating);Evitante (Avoiding)
24;Rinuncio ad alcune mie prerogative per favorire il clima collaborativo;Coinvolgo attivamente tutti per co-costruire una soluzione condivisa;Accomodante (Accommodating);Compromesso (Compromising)
25;Argomento con evidenze concrete perché la mia soluzione è la migliore;Do peso alle obiezioni tecniche dei colleghi prima di finalizzare la proposta;Competitivo (Competing);Accomodante (Accommodating)
26;Suggerisco un compromesso equo tra le richieste del cliente e le nostre capacità;Lavoro per un risultato che massimizzi il valore per tutta l'organizzazione;Compromesso (Compromising);Collaborativo (Collaborating)
27;Evito di entrare in discussioni su temi politically sensitive in azienda;Rispetto le preferenze del team anche se diverse dalle mie;Evitante (Avoiding);Accomodante (Accommodating)
28;Porto avanti con decisione l'implementazione del nuovo sistema gestionale;Coinvolgo il team interfunzionale per risolvere collaborativamente il problema;Competitivo (Competing);Collaborativo (Collaborating)
29;Propongo di dividere equamente risorse e responsabilità tra i reparti;Non vale la pena dibattere su aspetti secondari del processo;Compromesso (Compromising);Evitante (Avoiding)
30;Gestisco con diplomazia le critiche per mantenere un buon clima di lavoro;Comunico apertamente il problema per lavorarci insieme con trasparenza;Accomodante (Accommodating);Collaborativo (Collaborating)
